user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
How can I contribute to the Deep Agents documentation on GitHub?,"['# Deep Agents Code\nSource: https://docs.langchain.com/oss/javascript/deepagents/code-link\n\nTerminal coding agent built on the Deep Agents SDK\n\n***\n\n<div>\n  <Callout icon=""terminal-2"">\n    [Connect these docs](/use-these-docs) to Claude, VSCode, and more via MCP for real-time answers.\n  </Callout>\n\n  <Callout icon=""edit"">\n    [Edit this page on GitHub](https://github.com/langchain-ai/docs/edit/main/src/oss/deepagents/code-link.mdx) or [file an issue](https://github.com/langchain-ai/docs/issues/new/choose).\n  </Callout>\n</div>']",You can contribute to the documentation by editing the page directly on GitHub or by filing an issue.,Elias Thorne,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
"Hey, can you explain how the RemotGraph fits into the LangSmith deployment architecture and what it actually does in relation to the Agent Server deployment?","['# LangSmith Studio\nSource: https://docs.langchain.com/langsmith/studio\n\n\n\n<Info>\n  **Prerequisites**\n\n  * [LangSmith](/langsmith/observability)\n  * [Agent Server](/langsmith/agent-server)\n  * [LangGraph CLI](/langsmith/cli)\n</Info>\n\nStudio is a specialized agent IDE that enables visualization, interaction, and debugging of agentic systems that implement the Agent Server API protocol. Studio also integrates with [tracing](/langsmith/observability-concepts), [evaluation](/langsmith/evaluation), and [prompt engineering](/langsmith/prompt-engineering).\n\n##  Features\n\nKey features of Studio:\n\n* Visualize your graph architecture\n* [Run and interact with your agent](/langsmith/use-studio#run-application)\n* [Manage assistants](/langsmith/use-studio#manage-assistants)\n* [Manage threads](/langsmith/use-studio#manage-threads)\n* [Iterate on prompts](/langsmith/observability-studio)\n* [Run experiments over a dataset](/langsmith/observability-studio#run-experiments-over-a-dataset)\n* Manage [long term memory](/oss/python/concepts/memory)\n* Debug agent state via [time travel](/oss/python/langgraph/use-time-travel)\n* 1 Click deploy to LangSmith Cloud.\n\n```mermaid actions={false} theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nflowchart\n    subgraph LangSmith Deployment\n        A[LangGraph CLI] -->|creates| B(Agent Server deployment)\n        B <--> D[Studio]\n        B <--> E[SDKs]\n        B <--> F[RemoteGraph]\n    end\n\n    classDef process fill:#E5F4FF,stroke:#006DDD,stroke-width:2px,color:#030710\n\n    class A,B,D,E,F process\n```\n\nStudio works for graphs that are deployed on [LangSmith](/langsmith/deployment-quickstart) or for graphs that are running locally via the [Agent Server](/langsmith/local-dev-testing).\n\nStudio supports two modes:\n\n###  Graph mode\n\nGraph mode exposes the full feature-set and is useful when you would like as many details about the execution of your agent, including the nodes traversed, intermediate states, and LangSmith integrations (such as adding to datasets and playground).\n\n### ']","According to the provided diagram, the RemoteGraph is a component that interacts directly with the Agent Server deployment. It functions alongside the Studio and SDKs as part of the LangSmith deployment ecosystem, maintaining a bidirectional connection with the Agent Server deployment.",Elias Thorne,MISSPELLED,LONG,single_hop_specific_query_synthesizer
"As a software engineer looking to integrate autonomous agents, what are the necessary prerequisites to utilize LangSmith Studio, and how does this tool facilitate the development workflow for graphs running locally?","['<1-hop>\n\n# LangSmith Studio\nSource: https://docs.langchain.com/langsmith/studio\n\n\n\n<Info>\n  **Prerequisites**\n\n  * [LangSmith](/langsmith/observability)\n  * [Agent Server](/langsmith/agent-server)\n  * [LangGraph CLI](/langsmith/cli)\n</Info>\n\nStudio is a specialized agent IDE that enables visualization, interaction, and debugging of agentic systems that implement the Agent Server API protocol. Studio also integrates with [tracing](/langsmith/observability-concepts), [evaluation](/langsmith/evaluation), and [prompt engineering](/langsmith/prompt-engineering).\n\n##  Features\n\nKey features of Studio:\n\n* Visualize your graph architecture\n* [Run and interact with your agent](/langsmith/use-studio#run-application)\n* [Manage assistants](/langsmith/use-studio#manage-assistants)\n* [Manage threads](/langsmith/use-studio#manage-threads)\n* [Iterate on prompts](/langsmith/observability-studio)\n* [Run experiments over a dataset](/langsmith/observability-studio#run-experiments-over-a-dataset)\n* Manage [long term memory](/oss/python/concepts/memory)\n* Debug agent state via [time travel](/oss/python/langgraph/use-time-travel)\n* 1 Click deploy to LangSmith Cloud.\n\n```mermaid actions={false} theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nflowchart\n    subgraph LangSmith Deployment\n        A[LangGraph CLI] -->|creates| B(Agent Server deployment)\n        B <--> D[Studio]\n        B <--> E[SDKs]\n        B <--> F[RemoteGraph]\n    end\n\n    classDef process fill:#E5F4FF,stroke:#006DDD,stroke-width:2px,color:#030710\n\n    class A,B,D,E,F process\n```\n\nStudio works for graphs that are deployed on [LangSmith](/langsmith/deployment-quickstart) or for graphs that are running locally via the [Agent Server](/langsmith/local-dev-testing).\n\nStudio supports two modes:\n\n###  Graph mode\n\nGraph mode exposes the full feature-set and is useful when you would like as many details about the execution of your agent, including the nodes traversed, intermediate states, and LangSmith integrations (such as adding to datasets and playground).\n\n### ']","To utilize LangSmith Studio, you must have LangSmith, the Agent Server, and the LangGraph CLI installed as prerequisites. For graphs running locally via the Agent Server, Studio facilitates the development workflow by allowing you to visualize your graph architecture, interact with your agent, manage assistants and threads, iterate on prompts, and debug agent state through features like time travel.",,,,multi_hop_specific_query_synthesizer
"As I look to maintain clean data within my development environment, could you explain the procedure for removing an individual trace in LangSmith, given that the user interface does not currently support this functionality?","['# Delete traces\nSource: https://docs.langchain.com/langsmith/script-delete-traces\n\n\n\nThe LangSmith UI does not currently support the deletion of an individual trace. This, however, can be accomplished by directly removing the trace from all materialized views in ClickHouse (except the runs\\_history views) and the runs and feedback table themselves.\n\nThis command can either be run using a trace ID as an argument or using a file that is a list of trace IDs.\n\n###  Prerequisites\n\nEnsure you have the following tools/items ready.\n\n1. kubectl\n\n   * [https://kubernetes.io/docs/tasks/tools/](https://kubernetes.io/docs/tasks/tools/)\n\n2. Clickhouse database credentials\n\n   * Host\n   * Port\n   * Username\n     * If using the bundled version, this is `default`\n   * Password\n     * If using the bundled version, this is `password`\n   * Database name\n     * If using the bundled version, this is `default`\n\n3. Connectivity to the Clickhouse database from the machine you will be running the `delete_trace_by_id` script on.\n\n   * If you are using the bundled version, you may need to port forward the clickhouse service to your local machine.\n   * Run `kubectl port-forward svc/langsmith-clickhouse 8123:8123` to port forward the clickhouse service to your local machine.\n\n4. The script to delete a trace\n\n   * Download the [trace script](https://github.com/langchain-ai/helm/blob/main/charts/langsmith/scripts/delete_trace_by_id.sh)\n\n<Warning>\n  **Batch size limits**\n\n  This script issues `DELETE` mutations against multiple ClickHouse tables per batch. Large deletions can cause service disruption.\n\n  * **Maximum 10,000 traces per run**: split larger files and process sequentially.\n  * **Wait between batches**: allow time for deletions to complete before starting the next batch.\n  * Use the `--sync` flag for sequential (slower but safer) deletion.\n</Warning>\n\n###  Running the deletion script for a single trace\n\nRun the following command to run the trace deletion script using a single trace ID:\n\n```bash theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nsh delete_trace_by_id.sh <clickhouse_url> --trace_id <trace_id>\n```\n\nFor example, if you are using the bundled version with port-forwarding, the command would look like:\n\n```bash theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nsh delete_trace_by_id.sh ""clickhouse://default:password@localhost:8123/default"" --trace_id 4ec70ec7-0808-416a-b836-7100aeec934b\n```\n\nIf you visit the LangSmith UI, you should now see specified trace ID is no longer present nor reflected in stats.\n\n### ']","Since the LangSmith UI does not support the deletion of individual traces, you must remove the trace directly from the runs and feedback tables, as well as all materialized views in ClickHouse, excluding the runs_history views. To accomplish this, you need the delete_trace_by_id script, kubectl, and your ClickHouse database credentials (host, port, username, password, and database name). If you are using the bundled version, you must first establish connectivity by running ""kubectl port-forward svc/langsmith-clickhouse 8123:8123"" to port-forward the service to your local machine. Once connected, you can execute the script using the command ""sh delete_trace_by_id.sh <clickhouse_url> --trace_id <trace_id>"". Please be aware that large deletions can cause service disruption, so you should limit runs to a maximum of 10,000 traces and allow time between batches for deletions to complete.",Elias Thorne,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
"How can I use clickhouse-cli to troubleshoot a ""Could not find trace IDs"" error when running the trace deletion script, and what additional flag should be included in the command to resolve this connection issue?","['<1-hop>\n\nRunning the deletion script for a multiple traces from a file with one trace ID per line\n\nRun the following command to run the trace deletion script using a list of trace IDs:\n\n```bash theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nsh delete_trace_by_id.sh <clickhouse_url> --file <path/to/foo.txt>\n```\n\nFor example, if you are using the bundled version with port-forwarding, the command would look like:\n\n```bash theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nsh delete_trace_by_id.sh ""clickhouse://default:password@localhost:8123/default"" --file path/to/traces.txt\n```\n\nIf you visit the LangSmith UI, you should now see all the specified traces have been removed.\n\n##  Troubleshooting\n\n###  ""Could not find trace IDs"" error\n\nIf you receive an error message stating that trace IDs could not be found, add the `--ssl` flag to your command. Without this flag, the script may not be able to properly connect to ClickHouse, resulting in false ""trace ID not found"" errors.\n\nExample with SSL flag:\n\n```bash theme={""theme"":{""light"":""catppuccin-latte"",""dark"":""catppuccin-mocha""}}\nsh delete_trace_by_id.sh ""clickhouse://default:password@localhost:8123/default"" --file path/to/traces.txt --ssl\n```\n\nYou can also verify that traces exist by connecting to ClickHouse directly using `clickhouse-cli` and querying for the trace IDs before running the deletion script.\n\n### Service disruption after large deletion\n\nIf the service becomes unresponsive after deleting many traces, the deletion queue is likely overwhelmed.\n\n**Prevention:** Limit deletions to 10,000 traces per run and wait several minutes between batches for deletions to process.\n\nIf you experience issues after a large deletion, contact [support](https://support.langchain.com/).\n\n***\n\n<div>\n  <Callout icon=""terminal-2"">\n    [Connect these docs](/use-these-docs) to Claude, VSCode, and more via MCP for real-time answers.\n  </Callout>\n\n  <Callout icon=""edit"">\n    [Edit this page on GitHub](https://github.com/langchain-ai/docs/edit/main/src/langsmith/script-delete-traces.mdx) or [file an issue](https://github.com/langchain-ai/docs/issues/new/choose).\n  </Callout>\n</div>']","To troubleshoot a ""Could not find trace IDs"" error, you can verify that the traces exist by connecting to ClickHouse directly using ""clickhouse-cli"" and querying for the trace IDs before executing the deletion script. If the error persists, it may be due to a connection issue, which can be resolved by adding the ""--ssl"" flag to your ""delete_trace_by_id.sh"" command.",,,,multi_hop_specific_query_synthesizer
how i set up the LangChain feedback criteria for my workflow if i want to use categories instead of just numbers?,"['# Set up feedback criteria\nSource: https://docs.langchain.com/langsmith/set-up-feedback-criteria\n\n\n\n<Tip>\n  **Recommended Reading**\n\n  Before diving into this content, it might be helpful to read the following:\n\n  * [Conceptual guide on tracing and feedback](/langsmith/observability-concepts)\n  * [Reference guide on feedback data format](/langsmith/feedback-data-format)\n</Tip>\n\nFeedback criteria are represented in the application as feedback tags. For human feedback, you can set up new feedback criteria as continuous feedback or categorical feedback.\n\n<Info>\n  You can also manage feedback configs programmatically with the SDK. Refer to [Manage feedback & annotation queues programmatically](/langsmith/annotation-queues-sdk).\n</Info>\n\n<Tip>\n  For free-form acceptance criteria a reviewer writes per-run (rather than a fixed set of rubric scores), refer to [Use assertions](/langsmith/assertions).\n</Tip>\n\nTo set up a new feedback criteria, follow [this link](https://smith.langchain.com/settings/workspaces/feedbacks) to view all existing tags for your workspace, then click **New Tag**.\n\n## Continuous feedback\n\nFor continuous feedback, you can enter a feedback tag name, then select a minimum and maximum value. Every value, including floating-point numbers, within this range will be accepted as feedback scores.\n\n<img alt=""Cont feedback"" />\n\n## Categorical feedback\n\nFor categorical feedback, you can enter a feedback tag name, then add a list of categories, each category mapping to a score. When you provide feedback, you can select one of these categories as the feedback score.\nBoth the category label and the score will be logged as feedback in `value` and `score` fields, respectively.\n\n<img alt=""Cat feedback"" />\n\n***\n\n<div>\n  <Callout icon=""terminal-2"">\n    [Connect these docs](/use-these-docs) to Claude, VSCode, and more via MCP for real-time answers.\n  </Callout>\n\n  <Callout icon=""edit"">\n    [Edit this page on GitHub](https://github.com/langchain-ai/docs/edit/main/src/langsmith/set-up-feedback-criteria.mdx) or [file an issue](https://github.com/langchain-ai/docs/issues/new/choose).\n  </Callout>\n</div>']","To set up categorical feedback in LangChain, you first navigate to the feedback settings page for your workspace and click on New Tag. When configuring the feedback, you select the categorical feedback option. You then enter a feedback tag name and provide a list of categories, where each category is mapped to a specific score. When you provide feedback, you select one of these categories, and both the category label and its corresponding score are logged in the value and score fields, respectively.",Elias Thorne,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
What Helm version is required for LangSmith alerts?,"[""# Alerts in LangSmith\nSource: https://docs.langchain.com/langsmith/alerts\n\n\n\n<Note>\n  **Self-hosted version requirement**: Access to alerts requires Helm chart version **0.10.3** or later.\n</Note>\n\nEffective observability in LLM applications requires proactive detection of failures, performance degradations, and regressions. LangSmith's alerts feature helps identify critical issues such as:\n\n* API rate limit violations from model providers.\n* Latency increases for your application.\n* Application changes that affect feedback scores reflecting end-user experience.\n* Unexpected cost spikes from LLM usage.\n\nAlerts in LangSmith are project-scoped, requiring separate configuration for each monitored project.\n\n<Tip>\n  Alerts can [route](#step-4-configure-notification-channel) to Slack, PagerDuty, Dynatrace, or any HTTP endpoint via webhook. The **Webhook** tab includes [example recipes](#example-recipes) for Microsoft Teams, email, and Slack on self-hosted deployments.\n</Tip>\n\nFollow these steps to configure an alert.\n\n##  Step 1: Navigate to create alert\n\nIn the [UI](https://smith.langchain.com?utm_source=docs\\&utm_medium=cta\\&utm_campaign=langsmith-signup\\&utm_content=langsmith-alerts), navigate to the Tracing project that you would like to configure alerts for. Click the **Alerts** icon on the top right-hand corner of the page to view existing alerts for that project and set up a new alert.\n\n##  Step 2: Select metric type\n\nLangSmith provides threshold-based alerting on the following metrics:\n\n| Metric Type        | Description                                                                                                           | Use Case                                                                                                                                                             |\n| ------------------ | --------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------- |\n| **Run Count**      | Tracks the total number of [runs](/langsmith/observability-concepts#runs) over a time window.                         | Monitor whether a pipeline is producing runs at the expected volume and alert when it drops unexpectedly.                                                            |\n| **Cost**           | Tracks the total cost of runs over a time window.                                                                     | Monitor LLM spending to alert when costs exceed expected thresholds. Requires [cost tracking](/langsmith/cost-tracking) to be configured.                            |\n| **Errors**         | Tracks runs with an error status. Alert on total error count or error percent (rate of errored runs out of all runs). | Monitor for failures in an application, or alert when the error rate exceeds an acceptable threshold.                                                                |\n| **Feedback Score** | Measures the average feedback score.                                                                                  | Track [feedback from end users](/langsmith/attach-user-feedback) or [online evaluation results](/langsmith/online-evaluations-llm-as-judge) to alert on regressions. |\n| **Latency**        | Measures average run execution time.                                                                                  | Tracks the latency of your application to alert on spikes and performance bottlenecks.                                                                               |\n\nAdditionally, for **Errors** and **Latency**, you can use the filter builder to stack conditions on fields such as **Status**, **Run Type**, **Tag**, and **Error**. For example, you can scope an error alert to runs where **Status** is `error`, **Run Type** is `llm`, **Tag** is `support_agent`, and **Error** matches `RateLimitExceeded`.\n\n## ""]",Access to alerts in the self-hosted version of LangSmith requires Helm chart version 0.10.3 or later.,Elias Thorne,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
"As a developer configuring LangSmith alerts, what is the recommended best practice for handling the Integration Key when setting up a PagerDuty notification channel, and where can I navigate in the UI to begin this configuration?","['<1-hop>\n\nClick the key icon to save the Integration Key as a Workspace secret or select an existing Workspace secret. As a best practice, we recommend saving the Integration Key as a Workspace Secret rather than adding it directly. This will allow you to reuse the same key across alerts for a workspace. 3. Configure additional notification options: * **Severity**: Maps to PagerDuty incident priority 4. Send a test alert by clicking **Send Test Alert** 5. Verify the incident is triggered by PagerDuty and contains relevant LangSmith alert information ### Troubleshooting If incidents aren\'t being created in PagerDuty: * Verify the Integration Key is entered correctly in LangSmith * Ensure the PagerDuty service is active and not in maintenance mode * Check that your PagerDuty account has Events API v2 enabled * If an alert trigger appears to be missing in PagerDuty, check whether the expected trigger occurred within one hour of a previous trigger from the same alert rule, and whether the incident created by the previous alert is still open. * Review network connectivity if your LangSmith instance is behind a firewall ### Additional resources * [PagerDuty Events API v2 Documentation](https://developer.pagerduty.com/docs/events-api-v2/overview/) * [PagerDuty Integration Guide](https://support.pagerduty.com/docs/services-and-integrations) </Tab> <Tab title=""Dynatrace""> Configure Dynatrace as a notification channel using Dynatrace\'s [Events API v2](https://docs.dynatrace.com/docs/dynatrace-api/environment-api/events-v2/post-event). This integration sends LangSmith alert events to your Dynatrace environment, enabling correlation with your broader infrastructure monitoring. **Prerequisites** * An active Dynatrace environment (SaaS or Managed). * A Dynatrace API access token with the `events.ingest` scope. If you\'re working from a custom [deployment](/langsmith/self-hosted) of LangSmith, make sure there are no firewall settings blocking egress traffic from LangSmith services. ### 1. Create an API token in Dynatrace 1. Log in to your Dynatrace environment. 2. Navigate to **Access Tokens**. 3. Click **Generate new token**. 4. Provide a descriptive name (e.g., ""LangSmith Alerts""). 5. Under **Scopes**, search for and enable `events.ingest` (Ingest events). 6. Click **Generate token**. 7. Copy the generated token and store it securely. The token is only displayed once. ### 2. Obtain your Dynatrace environment URL Your Dynatrace environment URL follows this format: ``` https://{your-environment-id}.live.dynatrace.com ``` You can find your environment ID in the browser URL bar when logged in to Dynatrace. ### 3. Configure LangSmith alert with Dynatrace 1. In the **Notifications Settings** for your alert setup in LangSmith, select **Dynatrace**. 2. Enter your Dynatrace environment URL. 3. Click the key icon to save the API token as a workspace secret or select an existing workspace secret. As a best practice, save the API token as a workspace secret rather than adding it directly. This allows you to reuse the same token across alerts for a workspace. 4. Configure additional notification options: * **Event Type**: Select the Dynatrace event type (e.g., `CUSTOM_ALERT`, `ERROR_EVENT`) 5. Send a test alert by clicking **Send Test Notification**. 6. Verify the event appears in your Dynatrace environment. ### Troubleshooting If events aren\'t appearing in Dynatrace: * Verify the API token has the `events.ingest` scope and is not expired. * Ensure the environment URL is correct and includes your environment ID. * Confirm the `Authorization` header format uses `Api-Token` (not `Bearer`). * Check that your Dynatrace environment is active and accessible. * Review network connectivity if your LangSmith instance is behind a firewall. ### Additional resources * [Dynatrace Events API v2 Documentation](https://docs.dynatrace.com/docs/dynatrace-api/environment-api/events-v2/post-event) * [Dynatrace Access Tokens](https://docs.dynatrace.com/docs/manage/access-control/access-tokens) </Tab> <Tab title=""Webhook""> Webhooks enable integration with custom services and third-party platforms by sending HTTP POST requests', ""<2-hop>\n\n# Alerts in LangSmith\nSource: https://docs.langchain.com/langsmith/alerts\n\n\n\n<Note>\n  **Self-hosted version requirement**: Access to alerts requires Helm chart version **0.10.3** or later.\n</Note>\n\nEffective observability in LLM applications requires proactive detection of failures, performance degradations, and regressions. LangSmith's alerts feature helps identify critical issues such as:\n\n* API rate limit violations from model providers.\n* Latency increases for your application.\n* Application changes that affect feedback scores reflecting end-user experience.\n* Unexpected cost spikes from LLM usage.\n\nAlerts in LangSmith are project-scoped, requiring separate configuration for each monitored project.\n\n<Tip>\n  Alerts can [route](#step-4-configure-notification-channel) to Slack, PagerDuty, Dynatrace, or any HTTP endpoint via webhook. The **Webhook** tab includes [example recipes](#example-recipes) for Microsoft Teams, email, and Slack on self-hosted deployments.\n</Tip>\n\nFollow these steps to configure an alert.\n\n##  Step 1: Navigate to create alert\n\nIn the [UI](https://smith.langchain.com?utm_source=docs\\&utm_medium=cta\\&utm_campaign=langsmith-signup\\&utm_content=langsmith-alerts), navigate to the Tracing project that you would like to configure alerts for. Click the **Alerts** icon on the top right-hand corner of the page to view existing alerts for that project and set up a new alert.\n\n##  Step 2: Select metric type\n\nLangSmith provides threshold-based alerting on the following metrics:\n\n| Metric Type        | Description                                                                                                           | Use Case                                                                                                                                                             |\n| ------------------ | --------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------- |\n| **Run Count**      | Tracks the total number of [runs](/langsmith/observability-concepts#runs) over a time window.                         | Monitor whether a pipeline is producing runs at the expected volume and alert when it drops unexpectedly.                                                            |\n| **Cost**           | Tracks the total cost of runs over a time window.                                                                     | Monitor LLM spending to alert when costs exceed expected thresholds. Requires [cost tracking](/langsmith/cost-tracking) to be configured.                            |\n| **Errors**         | Tracks runs with an error status. Alert on total error count or error percent (rate of errored runs out of all runs). | Monitor for failures in an application, or alert when the error rate exceeds an acceptable threshold.                                                                |\n| **Feedback Score** | Measures the average feedback score.                                                                                  | Track [feedback from end users](/langsmith/attach-user-feedback) or [online evaluation results](/langsmith/online-evaluations-llm-as-judge) to alert on regressions. |\n| **Latency**        | Measures average run execution time.                                                                                  | Tracks the latency of your application to alert on spikes and performance bottlenecks.                                                                               |\n\nAdditionally, for **Errors** and **Latency**, you can use the filter builder to stack conditions on fields such as **Status**, **Run Type**, **Tag**, and **Error**. For example, you can scope an error alert to runs where **Status** is `error`, **Run Type** is `llm`, **Tag** is `support_agent`, and **Error** matches `RateLimitExceeded`.\n\n## ""]","When configuring a PagerDuty notification channel in LangSmith, the recommended best practice is to save the Integration Key as a Workspace Secret rather than adding it directly, as this allows you to reuse the same key across alerts for a workspace. To begin this configuration, you should navigate to the Tracing project in the LangSmith UI that you would like to monitor and click the Alerts icon located in the top right-hand corner of the page.",,,,multi_hop_specific_query_synthesizer
What are the recommended initial setup steps and managed services for deploying LangSmith on GCP to ensure operational excellence?,"['Initial setup steps](#initial-setup) for deploying to GKE, configuring managed services, and setting up authentication.\n* [GCP-specific architecture patterns](#reference-architecture) and reference diagrams.\n* [Service recommendations](#compute-options) and best practices.\n* [Google Cloud Well-Architected best practices](#google-cloud-well-architected-best-practices) for operational excellence, security, and reliability.\n\n<Note>\n  LangChain publishes production-ready [Terraform modules for GCP](https://github.com/langchain-ai/terraform/tree/main/modules/gcp) that provision GKE, Cloud SQL, Memorystore, Cloud Storage, and networking in a single workflow. Start with the [Deploy with Terraform overview](/langsmith/self-host-terraform) to choose between the Terraform and Helm-only paths.\n</Note>\n\n## Initial setup\n\n<Steps>\n  <Step title=""Deploy to Kubernetes"">\n    Follow the [Kubernetes installation guide](/langsmith/kubernetes). LangSmith is tested on Google Kubernetes Engine (GKE).\n\n    **GKE-specific notes:**\n\n    * LangSmith works with standard GKE clusters\n    * Use GCE persistent disk storage class\n  </Step>\n\n  <Step title=""Configure external services"">\n    For production deployments, connect to GCP managed services:\n\n    <CardGroup>\n      <Card title=""Google Cloud Storage"" icon=""database"" href=""/langsmith/self-host-blob-storage#google-cloud-storage"">\n        Store trace data in GCS\n      </Card>\n\n      <Card title=""Cloud SQL"" icon=""database"" href=""/langsmith/self-host-external-postgres#google-cloud-sql"">\n        PostgreSQL database\n      </Card>\n\n      <Card title=""Memorystore"" icon=""cpu"" href=""/langsmith/self-host-external-redis#google-cloud-memorystore"">\n        Redis or Valkey for caching\n      </Card>\n\n      <Card title=""ClickHouse Cloud"" icon=""chart-line"" href=""/langsmith/self-host-external-clickhouse"">\n        Analytics database\n      </Card>\n    </CardGroup>\n  </Step>\n\n  <Step title=""Set up authentication"">\n    Use [Workload Identity](https://cloud.google.com/kubernetes-engine/docs/how-to/workload-identity) to authenticate LangSmith pods to GCP services.\n\n    **Key pages:**\n\n    * [GCS HMAC key authentication](/langsmith/self-host-blob-storage#google-cloud-storage)\n    * [Cloud SQL IAM authentication](/langsmith/self-host-external-postgres#iam-authentication)\n    * [Memorystore IAM authentication](/langsmith/self-host-external-redis#iam-authentication)\n  </Step>\n</Steps>\n\nAfter completing these initial setup steps, you can review the complete GCP architecture and best practices below.\n\n## ']","To deploy LangSmith on GCP, you should follow the initial setup steps which include deploying to GKE, configuring managed services, and setting up authentication. For production deployments, you should connect to GCP managed services such as Google Cloud Storage for trace data, Cloud SQL for your PostgreSQL database, Memorystore for Redis or Valkey caching, and ClickHouse Cloud for analytics. Additionally, you should use Workload Identity to authenticate LangSmith pods to GCP services, utilizing specific authentication methods like GCS HMAC keys or Cloud SQL and Memorystore IAM authentication. For operational excellence, security, and reliability, you should also refer to the Google Cloud Well-Architected best practices.",Elena Vance,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
"As a Senior Cloud Infrastructure Engineer, why is Google Kubernetes Engine the preferred compute option for LangSmith deployments, and how does it function within the broader reference architecture for frontend and backend services?","['<1-hop>\n\nCompute options\n\nLangSmith supports multiple compute options depending on your requirements:\n\n| Compute option                           | Description                               | Suitable for                         |\n| ---------------------------------------- | ----------------------------------------- | ------------------------------------ |\n| **Google Kubernetes Engine (preferred)** | Advanced scaling and multi-tenant support | Large enterprises                    |\n| **Compute Engine-based**                 | Full control, BYO-infra                   | Regulated or air-gapped environments |\n\n## ', '<2-hop>\n\nReference architecture\n\nWe recommend leveraging GCP\'s managed services to provide a scalable, secure, and resilient platform. The following architecture applies to both self-hosted and hybrid and aligns with the [Google Cloud Well-Architected Framework](https://docs.cloud.google.com/architecture/framework):\n\n<img alt=""Architecture diagram showing GCP relations to LangSmith services"" />\n\n* <Icon icon=""globe"" /> **Ingress & networking**: Requests enter via [Cloud Load Balancing](https://cloud.google.com/load-balancing) within your [VPC](https://cloud.google.com/vpc), secured using [Cloud Armor](https://cloud.google.com/armor) and [IAM](https://cloud.google.com/iam)-based authentication.\n\n* <Icon icon=""cube"" /> **Frontend & backend services:** Containers run on [Google Kubernetes Engine (GKE)](https://cloud.google.com/kubernetes-engine), orchestrated behind the load balancer. Routes requests to other services within the cluster as necessary.\n\n* <Icon icon=""database"" /> **Storage & databases:**\n  * [Cloud SQL for PostgreSQL](https://cloud.google.com/sql/docs/postgres): metadata, projects, users, and short-term and long-term memory for deployed agents. LangSmith supports PostgreSQL version 14 or higher.\n  * [Memorystore](https://cloud.google.com/memorystore) ([Redis](https://cloud.google.com/memorystore/docs/redis) or [Valkey](https://cloud.google.com/memorystore/docs/valkey)): caching and job queues. Memorystore can be in single-instance or cluster mode. LangSmith requires Redis OSS version 5 or higher, or Valkey 8.\n  * ClickHouse + [Persistent Disks](https://cloud.google.com/compute/docs/disks): analytics and trace storage.\n    * We recommend using an [externally managed ClickHouse solution](/langsmith/self-host-external-clickhouse) unless security or compliance reasons\n      prevent you from doing so.\n    * ClickHouse is not required for hybrid deployments.\n  * [Cloud Storage](https://cloud.google.com/storage): object storage for trace artifacts and telemetry.\n\n* <Icon icon=""sparkles"" /> **LLM integration:** Optionally proxy requests to [Vertex AI](https://cloud.google.com/vertex-ai) for LLM inference.\n\n* <Icon icon=""chart-line"" /> **Monitoring & observability:** Integrate with [Cloud Monitoring](https://cloud.google.com/monitoring) and [Cloud Logging](https://cloud.google.com/logging)\n\n## ']","Google Kubernetes Engine (GKE) is the preferred compute option for LangSmith because it provides advanced scaling and multi-tenant support, making it particularly suitable for large enterprises. Within the recommended reference architecture, GKE serves as the platform where frontend and backend service containers are run and orchestrated behind a load balancer, which routes requests to other services within the cluster as necessary.",,,,multi_hop_specific_query_synthesizer
